day_order,day,tray_no,tray,capture_id,total_cells,raw_green_cells,tracked_emerged_cells,newly_emerged_today,tracked_emergence_percent,mean_green_cover_percent,total_green_pixels,overlay_path,mask_path
2,Day 2,7,Tray 7,DJI_20260620131539_0007,70,14,29,11,41.42857142857143,0.1819470699432892,1078,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 2\Tray 7\DJI_20260620131539_0007_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 2\Tray 7\DJI_20260620131539_0007_rgb_green_mask.png
2,Day 2,8,Tray 8,DJI_20260620131623_0008,70,31,32,27,45.714285714285715,1.3235889819065625,7842,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 2\Tray 8\DJI_20260620131623_0008_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 2\Tray 8\DJI_20260620131623_0008_rgb_green_mask.png
3,Day 3,4,Tray 4,DJI_20260621125808_0004,70,15,23,1,32.857142857142854,0.21232784229003507,1258,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 3\Tray 4\DJI_20260621125808_0004_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 3\Tray 4\DJI_20260621125808_0004_rgb_green_mask.png
3,Day 3,5,Tray 5,DJI_20260621125931_0005,70,26,31,4,44.285714285714285,1.2157372400756141,7203,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 3\Tray 5\DJI_20260621125931_0005_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 3\Tray 5\DJI_20260621125931_0005_rgb_green_mask.png
3,Day 3,7,Tray 7,DJI_20260621130015_0007,70,19,35,6,50.0,0.24912233324331626,1476,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 3\Tray 7\DJI_20260621130015_0007_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 3\Tray 7\DJI_20260621130015_0007_rgb_green_mask.png
3,Day 3,9,Tray 9,DJI_20260621130058_0009,70,33,33,33,47.14285714285714,1.539123683499865,9119,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 3\Tray 9\DJI_20260621130058_0009_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 3\Tray 9\DJI_20260621130058_0009_rgb_green_mask.png
4,Day 4,1,Tray 1,DJI_20260622122222_0001,70,26,29,8,41.42857142857143,0.7218809073724008,4277,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 4\Tray 1\DJI_20260622122222_0001_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 4\Tray 1\DJI_20260622122222_0001_rgb_green_mask.png
4,Day 4,2,Tray 2,DJI_20260622122329_0002,70,26,31,5,44.285714285714285,1.0462800432082096,6199,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 4\Tray 2\DJI_20260622122329_0002_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 4\Tray 2\DJI_20260622122329_0002_rgb_green_mask.png
4,Day 4,3,Tray 3,DJI_20260622122437_0003,70,22,36,4,51.42857142857142,0.5262624898730758,3118,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 4\Tray 3\DJI_20260622122437_0003_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 4\Tray 3\DJI_20260622122437_0003_rgb_green_mask.png
4,Day 4,5,Tray 5,DJI_20260622122624_0005,70,29,45,14,64.28571428571429,1.394815014852822,8264,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 4\Tray 5\DJI_20260622122624_0005_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 4\Tray 5\DJI_20260622122624_0005_rgb_green_mask.png
4,Day 4,6,Tray 6,DJI_20260622122657_0006,70,16,29,0,41.42857142857143,0.216884958142047,1285,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 4\Tray 6\DJI_20260622122657_0006_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 4\Tray 6\DJI_20260622122657_0006_rgb_green_mask.png
4,Day 4,7,Tray 7,DJI_20260622122752_0007,70,21,37,2,52.85714285714286,0.3362138806373211,1992,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 4\Tray 7\DJI_20260622122752_0007_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 4\Tray 7\DJI_20260622122752_0007_rgb_green_mask.png
4,Day 4,8,Tray 8,DJI_20260622122838_0008,70,37,40,8,57.14285714285714,2.0186335403726705,11960,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 4\Tray 8\DJI_20260622122838_0008_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 4\Tray 8\DJI_20260622122838_0008_rgb_green_mask.png
9,Day 9,1,Tray 1,DJI_20260627101229_0001,70,35,36,7,51.42857142857142,2.9049081825546854,17211,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 9\Tray 1\DJI_20260627101229_0001_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 9\Tray 1\DJI_20260627101229_0001_rgb_green_mask.png
9,Day 9,3,Tray 3,DJI_20260627101610_0003,70,27,42,6,60.0,1.3683162300837157,8107,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 9\Tray 3\DJI_20260627101610_0003_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 9\Tray 3\DJI_20260627101610_0003_rgb_green_mask.png
9,Day 9,5,Tray 5,DJI_20260627101808_0005,70,45,55,10,78.57142857142857,5.377565487442614,31861,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 9\Tray 5\DJI_20260627101808_0005_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 9\Tray 5\DJI_20260627101808_0005_rgb_green_mask.png
9,Day 9,6,Tray 6,DJI_20260627101858_0006,70,28,34,5,48.57142857142857,1.0265325411828248,6082,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 9\Tray 6\DJI_20260627101858_0006_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 9\Tray 6\DJI_20260627101858_0006_rgb_green_mask.png
9,Day 9,7,Tray 7,DJI_20260627101933_0007,70,30,42,5,60.0,1.35295706184175,8016,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 9\Tray 7\DJI_20260627101933_0007_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 9\Tray 7\DJI_20260627101933_0007_rgb_green_mask.png
9,Day 9,8,Tray 8,DJI_20260627102037_0008,70,45,48,8,68.57142857142857,5.008439103429652,29674,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 9\Tray 8\DJI_20260627102037_0008_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 9\Tray 8\DJI_20260627102037_0008_rgb_green_mask.png
