day_order,day,tray_no,tray,capture_id,d_path,overlay_path,cell_count,status
2,Day 2,3,Tray 3,DJI_20260620131152_0003,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 2\Tray 3\DJI_20260620131152_0003_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 2\Tray 3\DJI_20260620131152_0003_70_cell_rgb_grid_overlay.jpg,70,PASS
2,Day 2,4,Tray 4,DJI_20260620131233_0004,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 2\Tray 4\DJI_20260620131233_0004_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 2\Tray 4\DJI_20260620131233_0004_70_cell_rgb_grid_overlay.jpg,70,PASS
2,Day 2,5,Tray 5,DJI_20260620131340_0005,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 2\Tray 5\DJI_20260620131340_0005_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 2\Tray 5\DJI_20260620131340_0005_70_cell_rgb_grid_overlay.jpg,70,PASS
2,Day 2,6,Tray 6,DJI_20260620131437_0006,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 2\Tray 6\DJI_20260620131437_0006_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 2\Tray 6\DJI_20260620131437_0006_70_cell_rgb_grid_overlay.jpg,70,PASS
2,Day 2,7,Tray 7,DJI_20260620131539_0007,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 2\Tray 7\DJI_20260620131539_0007_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 2\Tray 7\DJI_20260620131539_0007_70_cell_rgb_grid_overlay.jpg,70,PASS
2,Day 2,8,Tray 8,DJI_20260620131623_0008,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 2\Tray 8\DJI_20260620131623_0008_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 2\Tray 8\DJI_20260620131623_0008_70_cell_rgb_grid_overlay.jpg,70,PASS
3,Day 3,4,Tray 4,DJI_20260621125808_0004,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 3\Tray 4\DJI_20260621125808_0004_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 3\Tray 4\DJI_20260621125808_0004_70_cell_rgb_grid_overlay.jpg,70,PASS
3,Day 3,5,Tray 5,DJI_20260621125931_0005,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 3\Tray 5\DJI_20260621125931_0005_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 3\Tray 5\DJI_20260621125931_0005_70_cell_rgb_grid_overlay.jpg,70,PASS
3,Day 3,7,Tray 7,DJI_20260621130015_0007,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 3\Tray 7\DJI_20260621130015_0007_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 3\Tray 7\DJI_20260621130015_0007_70_cell_rgb_grid_overlay.jpg,70,PASS
3,Day 3,9,Tray 9,DJI_20260621130058_0009,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 3\Tray 9\DJI_20260621130058_0009_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 3\Tray 9\DJI_20260621130058_0009_70_cell_rgb_grid_overlay.jpg,70,PASS
4,Day 4,1,Tray 1,DJI_20260622122222_0001,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 4\Tray 1\DJI_20260622122222_0001_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 4\Tray 1\DJI_20260622122222_0001_70_cell_rgb_grid_overlay.jpg,70,PASS
4,Day 4,2,Tray 2,DJI_20260622122329_0002,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 4\Tray 2\DJI_20260622122329_0002_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 4\Tray 2\DJI_20260622122329_0002_70_cell_rgb_grid_overlay.jpg,70,PASS
4,Day 4,3,Tray 3,DJI_20260622122437_0003,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 4\Tray 3\DJI_20260622122437_0003_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 4\Tray 3\DJI_20260622122437_0003_70_cell_rgb_grid_overlay.jpg,70,PASS
4,Day 4,5,Tray 5,DJI_20260622122624_0005,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 4\Tray 5\DJI_20260622122624_0005_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 4\Tray 5\DJI_20260622122624_0005_70_cell_rgb_grid_overlay.jpg,70,PASS
4,Day 4,6,Tray 6,DJI_20260622122657_0006,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 4\Tray 6\DJI_20260622122657_0006_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 4\Tray 6\DJI_20260622122657_0006_70_cell_rgb_grid_overlay.jpg,70,PASS
4,Day 4,7,Tray 7,DJI_20260622122752_0007,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 4\Tray 7\DJI_20260622122752_0007_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 4\Tray 7\DJI_20260622122752_0007_70_cell_rgb_grid_overlay.jpg,70,PASS
4,Day 4,8,Tray 8,DJI_20260622122838_0008,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 4\Tray 8\DJI_20260622122838_0008_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 4\Tray 8\DJI_20260622122838_0008_70_cell_rgb_grid_overlay.jpg,70,PASS
9,Day 9,1,Tray 1,DJI_20260627101229_0001,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 9\Tray 1\DJI_20260627101229_0001_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 9\Tray 1\DJI_20260627101229_0001_70_cell_rgb_grid_overlay.jpg,70,PASS
9,Day 9,3,Tray 3,DJI_20260627101610_0003,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 9\Tray 3\DJI_20260627101610_0003_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 9\Tray 3\DJI_20260627101610_0003_70_cell_rgb_grid_overlay.jpg,70,PASS
9,Day 9,5,Tray 5,DJI_20260627101808_0005,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 9\Tray 5\DJI_20260627101808_0005_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 9\Tray 5\DJI_20260627101808_0005_70_cell_rgb_grid_overlay.jpg,70,PASS
9,Day 9,6,Tray 6,DJI_20260627101858_0006,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 9\Tray 6\DJI_20260627101858_0006_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 9\Tray 6\DJI_20260627101858_0006_70_cell_rgb_grid_overlay.jpg,70,PASS
9,Day 9,7,Tray 7,DJI_20260627101933_0007,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 9\Tray 7\DJI_20260627101933_0007_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 9\Tray 7\DJI_20260627101933_0007_70_cell_rgb_grid_overlay.jpg,70,PASS
9,Day 9,8,Tray 8,DJI_20260627102037_0008,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 9\Tray 8\DJI_20260627102037_0008_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\03_Cell_Grid_Detection\Day 9\Tray 8\DJI_20260627102037_0008_70_cell_rgb_grid_overlay.jpg,70,PASS
